"text";"created";"screenName";"retweetCount";"isRetweet";"id";"characters"
"RT @HalleyBorderCol: MUST READ: They found NOTHING and yet kept the wire tap in place. 
Illegal. Will justice be served?
https://t.co/FmgcD…";"2017-03-04 23:56:17";"DreamWeaver61";72;TRUE;838176300976193536;140
"RT @SheriffClarke: Obama is sleazy. Don't believe a word. Lied on shovel ready jobs, Iran deal &amp; Obamacare, if you like your doctor. https:…";"2017-03-04 23:56:17";"Boylan1947P";246;TRUE;838176300816863232;144
"RT @assbott: it is with a heavy heart I must inform you that @realDonaldTrump tried to wiretap my robotic butthole";"2017-03-04 23:56:17";"sistercrisco";31;TRUE;838176300699381760;114
"RT @brhodes: No President can order a wiretap. Those restrictions were put in place to protect citizens from people like you. https://t.co/…";"2017-03-04 23:56:17";"laz";42998;TRUE;838176300183465984;140
"RT @PalmerReport: Donald Trump appears to have illegally leaked classified info in his Trump Tower wiretap tweets https://t.co/xErLoJCAjm #…";"2017-03-04 23:56:17";"SarcasticBurke";170;TRUE;838176299701121024;140
"RT @MarkDice: I'm sure the front man of an organized criminal empire would never order a wiretap on the man's phone who could bring him dow…";"2017-03-04 23:56:16";"sassyandcowgirl";379;TRUE;838176299331903488;140
"RT @MikePenceVP: Of course Obama just issued a statement denying the #wiretap allegations. You know like Benghazi, Ransom, Iran, Russia, DO…";"2017-03-04 23:56:16";"invertedNormal";1364;TRUE;838176297914335232;140
"RT @TheNicoleComer: #wiretapping #wiretap #ObamaGate

This is result of 8 yrs of #Democrats lawlessness #CorruptMedia #fakenews cover-ups…";"2017-03-04 23:56:16";"LaurelCatherine";11;TRUE;838176297570484224;138
"RT @ABlinken: Trump not smart to spotlight wiretap. Requires warrant which requires probable cause crime committed or target foreign agent.…";"2017-03-04 23:56:16";"_political_p";157;TRUE;838176296177917952;140
"RT @ALilJaded4u2: <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>#ObamaGate a lib just said the CIA, FBI, NSA won't wiretap unless it's legal. I can't quit laughing... <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> htt…";"2017-03-04 23:56:16";"tntranchtx";3;TRUE;838176295850766336;686
